"","ntree","mtry","nodesize","maxnodes","RMSE","MAE","R2"
"309",600,20,15,15,0.285535250818391,0.150978342685745,0.103355722913496
"310",700,20,15,15,0.283569407387066,0.149242296523346,0.120115322256376
"311",300,30,15,15,0.286007174958364,0.151566577024284,0.101235302112053
"312",400,30,15,15,0.285272945931449,0.15162937800382,0.10191869827267
"313",500,30,15,15,0.287262746281343,0.152545968645513,0.0938680075384947
"314",600,30,15,15,0.288598479203814,0.152271880166347,0.0799313641728143
"315",700,30,15,15,0.287315097969093,0.151818572458942,0.0901011764264956
"316",300,40,15,15,0.286096305386607,0.15269186396929,0.102493914212788
"317",400,40,15,15,0.287605277677746,0.151946024756925,0.0873219862133102
"318",500,40,15,15,0.287001108930371,0.151677135660977,0.0908922129944172
"319",600,40,15,15,0.286038291341196,0.15193993877221,0.0984076224155307
"320",700,40,15,15,0.285212565939239,0.151904089767525,0.102046383751034
"321",300,50,15,15,0.28978383270913,0.153863524488027,0.0676902734965538
"322",400,50,15,15,0.288533104229182,0.153139407786539,0.080416425318546
"323",500,50,15,15,0.287725215138956,0.153019804852621,0.0914895618698349
"324",600,50,15,15,0.28840995118993,0.152668282726883,0.0799367540695027
"325",700,50,15,15,0.287571339964868,0.152287692364774,0.0855751826159385
"326",300,60,15,15,0.288937995735199,0.153196385225569,0.081223687318404
"327",400,60,15,15,0.289089727528894,0.153384206938804,0.0787850508349036
"328",500,60,15,15,0.289784566939791,0.153050038538868,0.075539866863233
"329",600,60,15,15,0.287433868145146,0.152901673966521,0.0914975623175283
"330",700,60,15,15,0.289978090789163,0.153460674133304,0.070633749456629
"331",300,10,20,15,0.289157598553822,0.150258144906977,0.0848963087196097
"332",400,10,20,15,0.289794982533867,0.150818964727599,0.0789228851206034
"333",500,10,20,15,0.288580760087601,0.15099944884082,0.0830463831309271
"334",600,10,20,15,0.288178746975977,0.150189270846032,0.0840832965063777
"335",700,10,20,15,0.285722401922397,0.149588951896253,0.106635012433525
"336",300,20,20,15,0.285760640056482,0.151011813244246,0.107504334926404
"337",400,20,20,15,0.284902108520943,0.15027659225307,0.114776603228475
"338",500,20,20,15,0.287770012664685,0.150979480349258,0.0916036939547682
"339",600,20,20,15,0.287771729929294,0.15268688620688,0.0924291392654899
"340",700,20,20,15,0.286056984155735,0.150506457974279,0.105382319524255
"341",300,30,20,15,0.288660451676494,0.152615552304143,0.0837363371793705
"342",400,30,20,15,0.287128284295342,0.151418141990692,0.0896289686433252
"343",500,30,20,15,0.286732802359337,0.15189016242743,0.099138618293906
"344",600,30,20,15,0.286560969594243,0.150983488151353,0.0977192115999502
"345",700,30,20,15,0.287444129383089,0.151808120087686,0.0911539927056758
"346",300,40,20,15,0.28757640547833,0.1522717018475,0.091046848734161
"347",400,40,20,15,0.286757002526295,0.152027967650696,0.0990078601407039
"348",500,40,20,15,0.28683027651664,0.151525357048516,0.0954667139230638
"349",600,40,20,15,0.290141175493861,0.152086801224849,0.0756551697395477
"350",700,40,20,15,0.287823159502739,0.152033097517831,0.0918226268744388
"351",300,50,20,15,0.287693875823534,0.151919086003049,0.0938325078515753
"352",400,50,20,15,0.287605234814966,0.152300883231794,0.0898522163215329
"353",500,50,20,15,0.288295959952438,0.152502006975833,0.0877438197048943
